Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod
2025-03-09,South,Desk,6,64.98,Store C,Retail,0,Carlos,389.88,Debit Card
2023-04-05,Central,Desk,17,476.49,Store D,Retail,0,Alice,8100.33,Gift Card
2025-05-08,North,Monitor,4,559.72,Store D,Retail,0.15,Diana,1903.048,Online
2023-09-03,North,Tablet,14,82.14,Store C,Retail,0,Alice,1149.96,Credit Card
2025-03-21,Central,Chair,9,343.21,Store A,Retail,0.05,Carlos,2934.4455,Debit Card
2025-06-20,South,Chair,7,301.01,Store B,Retail,0.15,Diana,1791.0095,Cash
2024-02-15,Central,Printer,14,428.13,Store C,Retail,0.1,Bob,5394.438,Cash
2023-06-09,Central,Laptop,2,503.28,Store D,Retail,0.15,Alice,855.576,Gift Card
2023-08-10,South,Printer,5,470.32,Store A,Retail,0.1,Eva,2116.44,Debit Card
2024-06-16,Central,Printer,20,65.17,Store C,Wholesale,0.05,Eva,1238.23,Gift Card
2023-07-23,South,Laptop,12,36.17,Store A,Retail,0,Eva,434.04,Online
2023-05-20,Central,Printer,4,459.31,Store D,Wholesale,0.15,Carlos,1561.654,Gift Card
2023-06-30,South,Laptop,2,416.06,Store D,Retail,0.05,Eva,790.514,Debit Card
2024-06-04,South,Tablet,16,302.58,Store D,Retail,0,Alice,4841.28,Online
2025-02-03,West,Chair,11,33.13,Store A,Retail,0.15,Frank,309.7655,Online
2024-01-09,East,Tablet,8,582.52,Store D,Retail,0.15,Frank,3961.136,Gift Card
2024-03-14,North,Desk,5,165.15,Store A,Retail,0.1,Eva,743.175,Gift Card
2024-09-06,West,Monitor,14,242.82,Store D,Wholesale,0.15,Alice,2889.558,Cash
2023-03-17,East,Monitor,13,65.99,Store A,Wholesale,0.1,Frank,772.083,Cash
2025-01-17,West,Chair,2,251.69,Store C,Wholesale,0,Alice,503.38,Debit Card
2024-09-12,South,Laptop,1,269.41,Store B,Wholesale,0.1,Eva,242.469,Cash
2024-01-05,South,Monitor,2,371.3,Store B,Wholesale,0.05,Bob,705.47,Credit Card
2024-04-19,West,Tablet,11,288.24,Store A,Wholesale,0.15,Diana,2695.044,Online
2025-06-11,Central,Tablet,11,232.75,Store D,Wholesale,0.05,Eva,2432.2375,Credit Card
2025-03-06,East,Phone,17,146.28,Store B,Retail,0.15,Carlos,2113.746,Cash
2023-05-24,East,Chair,5,100.38,Store C,Retail,0.1,Eva,451.71,Gift Card
2023-01-27,South,Phone,11,375.48,Store B,Retail,0.05,Bob,3923.766,Debit Card
2024-03-21,South,Laptop,18,316.89,Store B,Wholesale,0.05,Bob,5418.819,Cash
2025-01-25,West,Laptop,20,295.06,Store D,Retail,0.15,Frank,5016.02,Online
2023-06-12,Central,Phone,8,301.68,Store D,Retail,0,Eva,2413.44,Cash
2025-03-22,Central,Chair,3,475.39,Store B,Retail,0.1,Alice,1283.553,Gift Card
2024-02-24,Central,Desk,16,47.25,Store D,Retail,0.15,Bob,642.6,Debit Card
2023-12-09,South,Chair,15,511.17,Store B,Wholesale,0,Frank,7667.55,Online
2023-10-01,Central,Monitor,3,66.58,Store B,Retail,0.1,Frank,179.766,Debit Card
2023-07-31,West,Tablet,5,490.52,Store D,Wholesale,0.05,Frank,2329.97,Online
2024-12-24,South,Chair,8,405.96,Store A,Wholesale,0.05,Carlos,3085.296,Credit Card
2024-11-15,North,Phone,1,159.41,Store B,Retail,0.1,Bob,143.469,Credit Card
2025-03-13,West,Monitor,16,38.49,Store C,Retail,0.15,Carlos,523.464,Debit Card
2024-03-03,East,Tablet,15,328.36,Store D,Retail,0.15,Alice,4186.59,Gift Card
2023-02-11,Central,Tablet,20,548.01,Store A,Wholesale,0.1,Eva,9864.18,Credit Card
2023-10-26,South,Desk,13,484.45,Store B,Wholesale,0.05,Carlos,5982.9575,Gift Card
2023-10-21,South,Monitor,13,195.84,Store A,Wholesale,0.05,Alice,2418.624,Credit Card
2024-01-14,Central,Tablet,19,29.94,Store D,Retail,0.15,Diana,483.531,Debit Card
2023-07-27,Central,Desk,10,553.91,Store D,Wholesale,0.1,Eva,4985.19,Online
2024-10-23,South,Phone,14,445.52,Store B,Retail,0.1,Bob,5613.552,Online
2023-09-26,South,Chair,5,551.58,Store B,Retail,0.15,Alice,2344.215,Online
2023-12-16,East,Phone,13,241.4,Store D,Retail,0,Carlos,3138.2,Gift Card
2024-01-02,Central,Printer,19,351.93,Store A,Wholesale,0,Alice,6686.67,Credit Card
2024-02-16,North,Phone,4,83.75,Store A,Retail,0.05,Alice,318.25,Debit Card
2024-05-03,East,Monitor,5,416.95,Store A,Wholesale,0.15,Frank,1772.0375,Online
2023-05-27,West,Monitor,18,142.43,Store C,Retail,0.05,Bob,2435.553,Credit Card
2023-01-05,East,Desk,12,582.52,Store A,Wholesale,0,Bob,6990.24,Credit Card
2025-05-21,East,Chair,20,129.56,Store A,Retail,0.15,Diana,2202.52,Online
2023-07-21,Central,Tablet,17,431.82,Store B,Retail,0,Eva,7340.94,Gift Card
2025-05-25,East,Laptop,15,15.85,Store C,Retail,0,Bob,237.75,Debit Card
2024-11-16,South,Tablet,20,548.34,Store B,Retail,0.1,Bob,9870.12,Gift Card
2023-11-19,North,Laptop,16,525.83,Store C,Wholesale,0.05,Frank,7992.616,Online
2025-01-12,Central,Laptop,15,411.38,Store A,Wholesale,0.05,Bob,5862.165,Online
2023-03-29,North,Monitor,19,559.95,Store A,Wholesale,0.1,Carlos,9575.145,Credit Card
2025-03-01,North,Desk,8,179.9,Store C,Retail,0.05,Carlos,1367.24,Online
2023-10-18,North,Chair,12,494.15,Store B,Wholesale,0.15,Diana,5040.33,Online
2025-04-13,East,Desk,10,462.99,Store C,Wholesale,0,Bob,4629.9,Credit Card
2025-05-13,Central,Laptop,7,460.24,Store A,Retail,0.05,Alice,3060.596,Cash
2024-04-21,West,Printer,17,309.52,Store B,Wholesale,0.05,Eva,4998.748,Online
2025-01-31,Central,Monitor,1,323.83,Store B,Wholesale,0.05,Eva,307.6385,Credit Card
2025-03-14,Central,Chair,10,503.07,Store C,Retail,0,Bob,5030.7,Credit Card
2024-05-26,West,Laptop,20,491.68,Store D,Wholesale,0.15,Alice,8358.56,Online
2023-07-22,North,Phone,17,468.45,Store A,Retail,0.05,Carlos,7565.4675,Credit Card
2024-03-21,North,Laptop,11,401.76,Store D,Retail,0.15,Frank,3756.456,Gift Card
2023-04-05,West,Printer,3,221,Store B,Wholesale,0,Frank,663,Cash
2024-08-26,East,Monitor,6,188.45,Store C,Wholesale,0.05,Alice,1074.165,Gift Card
2024-07-07,North,Desk,3,566.2,Store D,Retail,0,Bob,1698.6,Gift Card
2023-09-29,East,Monitor,14,167.09,Store D,Retail,0.05,Alice,2222.297,Gift Card
2023-10-04,West,Monitor,16,36.16,Store C,Wholesale,0.1,Carlos,520.704,Debit Card
2025-06-09,Central,Printer,2,73.94,Store B,Wholesale,0.05,Carlos,140.486,Debit Card
2025-06-12,East,Printer,16,459.49,Store A,Wholesale,0.1,Eva,6616.656,Online
2024-06-29,East,Chair,3,168.05,Store A,Retail,0,Carlos,504.15,Cash
2024-03-23,North,Printer,14,37.54,Store B,Retail,0.15,Alice,446.726,Credit Card
2024-07-14,South,Tablet,4,151.16,Store B,Wholesale,0,Alice,604.64,Gift Card
2024-03-15,South,Tablet,17,78.58,Store A,Wholesale,0.1,Bob,1202.274,Gift Card
2025-04-19,Central,Chair,15,37.33,Store B,Retail,0.05,Carlos,531.9525,Cash
2024-02-15,West,Tablet,18,537.02,Store A,Wholesale,0.15,Carlos,8216.406,Debit Card
2024-01-25,East,Desk,5,215.6,Store C,Wholesale,0,Frank,1078,Online
2025-04-15,Central,Laptop,18,209.5,Store D,Wholesale,0,Carlos,3771,Credit Card
2025-04-15,Central,Chair,8,348.98,Store A,Retail,0.1,Frank,2512.656,Online
2024-08-11,West,Printer,2,289.14,Store C,Retail,0.05,Diana,549.366,Online
2023-12-01,South,Desk,5,396.93,Store B,Wholesale,0,Diana,1984.65,Credit Card
2023-08-06,Central,Laptop,10,508.57,Store D,Retail,0.05,Bob,4831.415,Online
2024-01-24,Central,Laptop,11,259.61,Store C,Wholesale,0.1,Carlos,2570.139,Cash
2024-03-07,Central,Chair,9,313.29,Store D,Retail,0,Carlos,2819.61,Online
2024-01-22,South,Tablet,5,106.57,Store C,Wholesale,0.1,Carlos,479.565,Debit Card
2023-02-23,East,Printer,1,109,Store B,Retail,0.15,Frank,92.65,Cash
2023-06-14,North,Tablet,8,323.8,Store B,Retail,0,Diana,2590.4,Cash
2025-05-13,North,Laptop,16,384.32,Store A,Retail,0.05,Frank,5841.664,Cash
2024-07-30,Central,Printer,16,163.86,Store C,Retail,0.15,Diana,2228.496,Gift Card
2024-07-18,East,Tablet,5,23.41,Store B,Wholesale,0,Frank,117.05,Credit Card
2024-08-26,East,Printer,20,488.9,Store C,Wholesale,0.15,Eva,8311.3,Gift Card
2025-06-08,West,Tablet,7,452.56,Store A,Wholesale,0.05,Frank,3009.524,Gift Card
2025-05-16,North,Desk,11,465.24,Store A,Wholesale,0,Carlos,5117.64,Debit Card
2024-07-18,East,Phone,14,442.65,Store B,Retail,0,Eva,6197.1,Gift Card
2023-09-17,West,Laptop,12,469.44,Store B,Wholesale,0,Bob,5633.28,Online
2023-03-13,East,Monitor,14,248.77,Store C,Wholesale,0.05,Bob,3308.641,Debit Card
2023-03-29,South,Chair,4,565.29,Store D,Wholesale,0.05,Alice,2148.102,Cash
2023-07-14,Central,Desk,12,244.8,Store B,Wholesale,0.05,Frank,2790.72,Online
2024-03-22,West,Laptop,13,290.93,Store C,Retail,0.05,Diana,3592.9855,Credit Card
2024-05-14,Central,Laptop,11,229.49,Store C,Retail,0.1,Bob,2271.951,Cash
2023-05-30,Central,Monitor,2,427.36,Store A,Wholesale,0.05,Diana,811.984,Online
2023-03-19,North,Phone,2,443.51,Store C,Wholesale,0.05,Alice,842.669,Cash
2023-08-09,Central,Desk,13,280.63,Store B,Wholesale,0.15,Alice,3100.9615,Credit Card
2024-10-13,North,Chair,13,416.66,Store B,Wholesale,0.15,Bob,4604.093,Credit Card
2025-02-17,East,Chair,11,589.48,Store B,Retail,0,Alice,6484.28,Online
2025-06-11,North,Phone,18,152.84,Store C,Retail,0.15,Diana,2338.452,Debit Card
2024-04-29,Central,Tablet,4,163.66,Store B,Retail,0,Bob,654.64,Gift Card
2023-03-18,West,Laptop,19,484.25,Store C,Wholesale,0.15,Bob,7820.6375,Debit Card
2024-12-21,North,Chair,9,380.4,Store B,Retail,0.1,Carlos,3081.24,Credit Card
2023-04-23,West,Chair,17,332.38,Store A,Retail,0.1,Frank,5085.414,Credit Card
2025-05-11,Central,Chair,15,210.94,Store C,Wholesale,0.05,Frank,3005.895,Online
2024-03-03,South,Phone,9,382.8,Store D,Wholesale,0,Eva,3445.2,Cash
2025-01-20,North,Monitor,3,386.29,Store C,Retail,0.15,Carlos,985.0395,Credit Card
2025-03-22,North,Tablet,5,225.99,Store C,Retail,0,Eva,1129.95,Online
2025-03-28,South,Printer,20,312.56,Store D,Retail,0.15,Frank,5313.52,Gift Card
2025-02-17,North,Phone,13,433.77,Store C,Wholesale,0.05,Frank,5357.0595,Cash
2024-11-08,South,Tablet,20,159.33,Store A,Wholesale,0,Eva,3186.6,Online
2024-03-17,South,Phone,18,32.23,Store B,Retail,0.05,Bob,551.133,Credit Card
2023-08-29,South,Monitor,3,527.77,Store C,Retail,0.1,Bob,1424.979,Cash
2023-06-22,South,Chair,14,291.09,Store A,Retail,0,Carlos,4075.26,Cash
2024-02-24,South,Phone,8,350.12,Store C,Retail,0,Alice,2800.96,Gift Card
2024-04-10,North,Phone,10,195.26,Store D,Retail,0.05,Alice,1854.97,Credit Card
2023-05-14,South,Monitor,13,291.1,Store A,Wholesale,0,Alice,3784.3,Online
2023-03-11,South,Monitor,6,93.92,Store B,Wholesale,0.15,Eva,478.992,Credit Card
2024-08-24,Central,Printer,5,15.92,Store D,Retail,0,Eva,79.6,Credit Card
2024-02-23,South,Monitor,16,120.22,Store D,Retail,0.15,Bob,1634.992,Cash
2024-01-30,North,Monitor,11,118.8,Store A,Retail,0.05,Eva,1241.46,Online
2024-01-23,East,Tablet,10,92.45,Store C,Wholesale,0.1,Frank,832.05,Cash
2023-01-05,North,Laptop,19,463.51,Store B,Retail,0,Bob,8806.69,Cash
2023-12-21,North,Desk,7,284.7,Store D,Wholesale,0.05,Bob,1893.255,Gift Card
2023-05-25,West,Laptop,20,343.25,Store C,Wholesale,0.05,Alice,6521.75,Debit Card
2025-06-30,Central,Chair,6,95.24,Store D,Wholesale,0.15,Diana,485.724,Gift Card
2025-02-12,West,Desk,13,104.8,Store B,Retail,0.05,Diana,1294.28,Credit Card
2024-01-03,West,Tablet,12,164.31,Store B,Wholesale,0.1,Eva,1774.548,Cash
2023-02-03,South,Tablet,10,325.18,Store C,Wholesale,0.1,Alice,2926.62,Cash
2024-03-01,East,Monitor,17,542.82,Store A,Wholesale,0,Alice,9227.94,Debit Card
2023-05-24,North,Tablet,14,207.48,Store C,Wholesale,0.05,Eva,2759.484,Online
2025-06-22,North,Printer,17,527.88,Store D,Retail,0.05,Bob,8525.262,Cash
2023-04-10,North,Chair,11,71.21,Store B,Retail,0.05,Diana,744.1445,Online
2025-03-04,Central,Printer,8,486.07,Store B,Retail,0,Carlos,3888.56,Debit Card
2024-07-11,East,Laptop,6,555.03,Store C,Retail,0.1,Frank,2997.162,Credit Card
2024-08-17,East,Desk,13,421.08,Store B,Wholesale,0,Bob,5474.04,Cash
2025-06-30,North,Laptop,16,76.17,Store D,Wholesale,0.1,Alice,1096.848,Cash
2024-11-06,South,Printer,3,503.55,Store C,Wholesale,0.1,Bob,1359.585,Credit Card
2025-04-01,East,Tablet,5,31.56,Store D,Retail,0,Diana,157.8,Online
2024-07-01,West,Laptop,16,72.92,Store C,Wholesale,0.05,Frank,1108.384,Cash
2023-12-09,West,Printer,18,421.93,Store D,Retail,0.05,Bob,7215.003,Gift Card
2023-06-27,North,Desk,15,478.41,Store B,Retail,0.1,Carlos,6458.535,Debit Card
2023-07-14,South,Chair,9,501.74,Store D,Retail,0,Bob,4515.66,Online
2023-02-08,South,Tablet,7,247.53,Store C,Wholesale,0.15,Alice,1472.8035,Gift Card
2024-06-28,West,Tablet,6,176.51,Store C,Wholesale,0.15,Carlos,900.201,Debit Card
2024-04-15,West,Laptop,2,143.43,Store D,Wholesale,0,Bob,286.86,Credit Card
2023-11-27,East,Monitor,12,538.5,Store C,Wholesale,0.05,Alice,6138.9,Cash
2025-03-27,East,Printer,5,87.17,Store D,Wholesale,0,Carlos,435.85,Debit Card
2023-08-06,South,Monitor,7,498.32,Store B,Wholesale,0.1,Alice,3139.416,Credit Card
2024-12-13,South,Printer,15,57.14,Store B,Wholesale,0.15,Carlos,728.535,Debit Card
2025-01-17,Central,Tablet,18,124.18,Store B,Wholesale,0.15,Carlos,1899.954,Debit Card
2023-11-26,West,Desk,12,107.45,Store C,Retail,0.1,Bob,1160.46,Online
2023-02-14,East,Chair,8,411.26,Store A,Retail,0.1,Frank,2961.072,Gift Card
2025-02-02,Central,Printer,7,248.1,Store C,Retail,0,Diana,1736.7,Cash
2023-04-11,West,Printer,3,486.52,Store B,Wholesale,0.1,Carlos,1313.604,Gift Card
2024-07-08,North,Monitor,18,415.04,Store C,Wholesale,0.1,Eva,6723.648,Cash
2023-02-08,Central,Printer,19,165.38,Store B,Wholesale,0.15,Alice,2670.887,Online
2024-04-09,West,Desk,2,117.47,Store C,Wholesale,0,Eva,234.94,Credit Card
2023-08-14,Central,Printer,9,461.79,Store C,Wholesale,0.15,Frank,3532.6935,Gift Card
2024-09-02,West,Tablet,19,208.72,Store D,Retail,0.05,Frank,3767.396,Credit Card
2025-06-29,Central,Monitor,16,278.13,Store A,Wholesale,0.15,Alice,3782.568,Cash
2025-04-02,West,Laptop,2,580.19,Store B,Wholesale,0.05,Diana,1102.361,Debit Card
2023-04-27,Central,Tablet,8,536.43,Store B,Retail,0,Carlos,4291.44,Cash
2024-08-07,East,Phone,1,94.33,Store A,Wholesale,0,Carlos,94.33,Online
2023-04-15,West,Laptop,16,489.94,Store C,Retail,0.1,Frank,7055.136,Cash
2023-08-12,South,Desk,4,551.71,Store A,Retail,0.05,Eva,2096.498,Gift Card
2023-06-19,West,Printer,17,595.57,Store D,Retail,0.15,Bob,8605.9865,Credit Card
2023-12-29,East,Printer,1,180.12,Store A,Wholesale,0.1,Eva,162.108,Debit Card
2023-03-26,East,Desk,12,301.5,Store D,Retail,0.15,Bob,3075.3,Credit Card
2023-09-01,South,Phone,20,273.55,Store D,Retail,0.15,Frank,4650.35,Debit Card
2024-08-05,West,Tablet,6,187.06,Store B,Wholesale,0.1,Frank,1010.124,Debit Card
2025-01-23,North,Chair,16,562.52,Store D,Retail,0,Frank,9000.32,Gift Card
2023-05-16,East,Tablet,4,85.16,Store D,Wholesale,0.1,Carlos,306.576,Credit Card
2023-02-14,North,Tablet,12,451.51,Store B,Wholesale,0.15,Carlos,4605.402,Online
2024-06-03,Central,Tablet,1,259.87,Store D,Retail,0.15,Eva,220.8895,Gift Card
2023-11-08,Central,Tablet,20,268.25,Store D,Retail,0.05,Diana,5096.75,Cash
2023-01-24,West,Phone,10,266.13,Store B,Wholesale,0,Diana,2661.3,Gift Card
2025-03-20,West,Laptop,18,493.06,Store D,Wholesale,0.05,Diana,8431.326,Cash
2024-02-22,West,Monitor,4,36.82,Store C,Wholesale,0.05,Frank,139.916,Credit Card
2025-04-02,North,Printer,12,413.45,Store D,Retail,0.15,Bob,4217.19,Cash
2025-06-12,North,Chair,19,446.25,Store B,Retail,0.1,Eva,7630.875,Gift Card
2023-05-13,East,Laptop,7,82.77,Store D,Wholesale,0.15,Frank,492.4815,Debit Card
2023-03-25,South,Desk,17,339.88,Store A,Retail,0,Alice,5777.96,Cash
2024-11-22,South,Printer,19,364.32,Store B,Retail,0.15,Frank,5883.768,Debit Card
2023-07-07,East,Tablet,3,71.91,Store B,Wholesale,0,Alice,215.73,Gift Card
2024-10-05,East,Tablet,20,576.3,Store D,Wholesale,0.05,Eva,10949.7,Credit Card
2024-03-31,West,Laptop,7,120.6,Store B,Wholesale,0,Diana,844.2,Online
2025-04-01,West,Printer,8,96.19,Store A,Wholesale,0.05,Carlos,731.044,Debit Card
2023-08-23,West,Printer,14,471.17,Store A,Wholesale,0.05,Carlos,6266.561,Gift Card
2024-08-14,South,Phone,20,14.33,Store D,Wholesale,0.1,Carlos,257.94,Debit Card
2025-02-14,Central,Tablet,18,499.61,Store B,Retail,0.15,Alice,7644.033,Debit Card
2023-11-11,West,Monitor,14,16.33,Store B,Wholesale,0.1,Diana,205.758,Debit Card
2024-04-01,Central,Desk,17,480.62,Store C,Wholesale,0.15,Carlos,6944.959,Online
2024-06-13,South,Chair,5,555.84,Store C,Retail,0.05,Diana,2640.24,Credit Card
2023-11-28,North,Chair,18,174.03,Store B,Wholesale,0.1,Frank,2819.286,Online
2024-11-11,Central,Desk,11,286.05,Store A,Retail,0.1,Bob,2831.895,Debit Card
2024-11-04,North,Desk,16,40.73,Store D,Retail,0,Alice,651.68,Credit Card
2023-01-01,Central,Chair,11,468.22,Store D,Retail,0,Carlos,5150.42,Debit Card
2025-01-18,North,Tablet,1,411.54,Store C,Retail,0.1,Eva,370.386,Gift Card
2023-05-02,Central,Printer,13,134.2,Store A,Wholesale,0.05,Eva,1657.37,Credit Card
2025-05-27,West,Printer,10,351.23,Store B,Retail,0.15,Frank,2985.455,Online
2024-12-27,South,Monitor,14,551.14,Store C,Wholesale,0.1,Diana,6944.364,Online
2025-03-18,West,Chair,2,131.13,Store B,Retail,0.1,Eva,236.034,Debit Card
2024-03-24,East,Laptop,6,595.11,Store C,Wholesale,0,Diana,3570.66,Cash
2024-12-26,East,Laptop,6,516.66,Store C,Wholesale,0.05,Bob,2944.962,Online
2023-01-11,North,Desk,6,202.57,Store D,Retail,0.05,Eva,1154.649,Gift Card
2025-06-01,South,Laptop,13,306.16,Store A,Wholesale,0.15,Frank,3383.068,Cash
2024-09-26,East,Desk,11,472.74,Store D,Retail,0.15,Carlos,4420.119,Credit Card
2024-08-10,East,Phone,20,337.37,Store C,Retail,0.1,Diana,6072.66,Gift Card
2025-03-02,South,Phone,12,34.24,Store C,Retail,0.1,Frank,369.792,Cash
2023-02-21,East,Tablet,4,477.05,Store B,Wholesale,0,Carlos,1908.2,Credit Card
2024-11-20,East,Laptop,6,562.93,Store C,Retail,0,Alice,3377.58,Credit Card
2023-08-26,East,Chair,20,18.29,Store B,Retail,0,Diana,365.8,Debit Card
2024-01-01,South,Monitor,7,208.86,Store B,Retail,0,Frank,1462.02,Cash
2024-11-24,South,Printer,12,330.36,Store D,Retail,0.05,Diana,3766.104,Cash
2024-08-25,South,Tablet,7,50.26,Store C,Retail,0.15,Diana,299.047,Cash
2023-06-10,South,Laptop,2,374.59,Store C,Wholesale,0.15,Carlos,636.803,Online
2024-12-18,North,Printer,7,467.6,Store A,Retail,0.1,Carlos,2945.88,Debit Card
2023-08-28,East,Chair,3,376.24,Store A,Retail,0.05,Frank,1072.284,Debit Card
2023-01-22,West,Phone,13,140.49,Store A,Retail,0,Eva,1826.37,Debit Card
2023-02-07,North,Monitor,3,506.33,Store B,Retail,0.15,Frank,1291.1415,Debit Card
2023-11-22,South,Monitor,8,138.73,Store A,Wholesale,0.05,Frank,1054.348,Online
2023-01-25,West,Desk,6,134.53,Store C,Retail,0.15,Carlos,686.103,Debit Card
2025-03-05,South,Tablet,18,375.96,Store D,Wholesale,0.05,Diana,6428.916,Debit Card
2023-02-02,North,Printer,10,538.47,Store D,Retail,0.1,Bob,4846.23,Gift Card
2023-05-24,North,Tablet,15,505.44,Store A,Wholesale,0.1,Alice,6823.44,Online
2024-05-30,South,Printer,4,312.09,Store C,Wholesale,0.15,Diana,1061.106,Debit Card
2024-01-23,West,Desk,15,579.58,Store C,Retail,0.15,Eva,7389.645,Credit Card
2023-02-06,North,Chair,10,217.43,Store A,Retail,0.15,Bob,1848.155,Credit Card
2024-07-15,West,Phone,15,476.15,Store B,Wholesale,0.05,Carlos,6785.1375,Online
2025-03-06,East,Chair,5,89.03,Store C,Wholesale,0.1,Frank,400.635,Debit Card
2023-07-29,Central,Phone,17,6.88,Store A,Retail,0.1,Frank,105.264,Gift Card
2023-07-26,North,Printer,6,355.26,Store D,Retail,0.1,Bob,1918.404,Online
2024-04-10,West,Tablet,8,294.76,Store C,Retail,0.1,Diana,2122.272,Online
2025-01-24,North,Desk,16,60.69,Store A,Wholesale,0,Carlos,971.04,Credit Card
2025-04-27,West,Laptop,2,559.63,Store B,Wholesale,0.1,Diana,1007.334,Credit Card
2025-02-20,East,Phone,4,232.66,Store B,Wholesale,0.1,Frank,837.576,Online
2023-09-14,North,Printer,10,230.87,Store A,Retail,0.15,Bob,1962.395,Debit Card
2024-04-17,West,Tablet,7,353.9,Store C,Wholesale,0.15,Alice,2105.705,Debit Card
2024-11-14,Central,Tablet,12,561.07,Store A,Retail,0,Alice,6732.84,Gift Card
2024-07-25,North,Chair,15,247.21,Store D,Wholesale,0.1,Bob,3337.335,Gift Card
2024-08-05,East,Phone,19,271.22,Store A,Wholesale,0.1,Alice,4637.862,Credit Card
2025-01-23,West,Laptop,6,532.54,Store A,Wholesale,0,Diana,3195.24,Debit Card
2025-04-27,West,Printer,16,329.54,Store A,Wholesale,0.15,Bob,4481.744,Debit Card
2024-09-20,South,Phone,6,170.1,Store A,Retail,0,Eva,1020.6,Gift Card
2023-09-08,West,Laptop,19,212.83,Store D,Wholesale,0.15,Carlos,3437.2045,Online
2025-04-20,South,Laptop,5,578.92,Store A,Wholesale,0,Bob,2894.6,Credit Card
2024-06-20,North,Phone,3,456.92,Store C,Retail,0.1,Frank,1233.684,Gift Card
2023-01-11,East,Tablet,12,521.53,Store D,Retail,0,Eva,6258.36,Credit Card
2023-07-04,North,Desk,17,468.19,Store D,Retail,0.05,Diana,7561.2685,Cash
2025-03-08,Central,Monitor,9,8.81,Store D,Retail,0.15,Alice,67.3965,Online
2025-02-10,South,Chair,6,521.1,Store A,Wholesale,0.15,Frank,2657.61,Cash
2025-03-17,West,Monitor,10,289.91,Store C,Retail,0.1,Diana,2609.19,Cash
2023-11-09,East,Printer,3,142.27,Store D,Retail,0.05,Bob,405.4695,Online
2023-11-30,Central,Printer,15,354.09,Store B,Retail,0.05,Carlos,5045.7825,Online
2024-08-15,South,Tablet,20,358.57,Store B,Wholesale,0,Alice,7171.4,Debit Card
2023-03-21,West,Tablet,16,33.18,Store C,Retail,0.05,Eva,504.336,Online
